epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3523,1.22907,3.694,1.15356,0.01205,0.61043,0.10126,0.0553,0.88148,3.37973,0.89187,2.222e-05,2.222e-05,2.222e-05
2,43.4742,1.12523,3.52896,1.12384,0.01336,0.67095,0.15164,0.09639,0.83696,3.34541,0.86194,5.28003e-05,5.28003e-05,5.28003e-05
3,68.886,0.98075,3.41479,0.99748,0.01384,0.70845,0.23352,0.14108,0.85713,3.32614,0.85543,8.00809e-05,8.00809e-05,8.00809e-05
4,97.3976,0.95761,3.07213,1.00693,0.01523,0.76845,0.30139,0.20166,0.90125,3.27028,0.8535,0.000104062,0.000104062,0.000104062
5,122.262,0.9563,2.87993,0.97898,0.01564,0.76845,0.30266,0.2293,0.91907,3.23715,0.85053,0.000124743,0.000124743,0.000124743
6,148.77,0.91805,2.66376,0.96415,0.01811,0.78095,0.34652,0.26533,0.88767,3.18234,0.83773,0.000142125,0.000142125,0.000142125
7,174.23,0.95084,2.42549,0.97635,0.0193,0.76845,0.35228,0.26856,0.85929,3.15801,0.83572,0.000156207,0.000156207,0.000156207
8,193.778,0.96993,2.1616,1.02306,0.01949,0.75595,0.37585,0.28996,0.83887,3.10675,0.83966,0.000166989,0.000166989,0.000166989
9,210.952,0.9155,2.06775,1.00628,0.01985,0.75595,0.40548,0.31818,0.83122,3.0361,0.84458,0.000174471,0.000174471,0.000174471
10,233.015,0.97416,1.9857,1.00092,0.01995,0.74345,0.4276,0.33867,0.81137,2.94986,0.84302,0.000178654,0.000178654,0.000178654
11,252.898,0.84609,1.86888,0.98077,0.79166,0.34508,0.43148,0.3526,0.79344,2.87185,0.84103,0.000179538,0.000179538,0.000179538
12,269.785,0.88462,1.74647,0.95376,0.94098,0.12726,0.43218,0.35967,0.77569,2.79161,0.84555,0.000177121,0.000177121,0.000177121
13,286.98,0.8085,1.60958,0.92894,0.98986,0.28095,0.45575,0.38683,0.77379,2.68381,0.84347,0.000171405,0.000171405,0.000171405
14,311.273,0.81361,1.49276,0.92545,0.98421,0.28095,0.45605,0.38254,0.78704,2.58386,0.84687,0.000162389,0.000162389,0.000162389
15,330.276,0.81983,1.54228,0.95046,0.98421,0.28095,0.45605,0.38254,0.78704,2.58386,0.84687,0.000150074,0.000150074,0.000150074
16,348.212,0.81337,1.45949,0.91293,0.78237,0.28095,0.4636,0.38021,0.79181,2.48722,0.84822,0.000134459,0.000134459,0.000134459
17,372.579,0.81582,1.353,0.91745,0.92782,0.33622,0.4967,0.40501,0.79341,2.39432,0.84868,0.000115544,0.000115544,0.000115544
18,390.393,0.77375,1.34321,0.92881,0.92782,0.33622,0.4967,0.40501,0.79341,2.39432,0.84868,9.33296e-05,9.33296e-05,9.33296e-05
19,406.715,0.80889,1.38145,0.91001,0.94574,0.39192,0.53106,0.43856,0.7859,2.30737,0.84614,6.78154e-05,6.78154e-05,6.78154e-05
20,424.953,0.79056,1.32947,0.894,0.94155,0.46293,0.56365,0.46961,0.78239,2.21573,0.84628,3.90017e-05,3.90017e-05,3.90017e-05
